name,entity
Margutta 54 Luxury Suites,CgsIsvrdueiIt_XmARAB
Hotel Pulitzer Roma,CgsI4Pii0qCW9syzARAB
Aparthotel Adagio Rome Vatican,CgoI_ZLqkciZ7NIDEAE
Mercure Roma Centro Termini,CgoIlcGstZSeks5IEAE
Hotel Area Roma,CgsI3v3dqayOoJGIARAB
Palazzo Caruso - 'A Luxury Home' - Boutique Hotel in the center of Rome,CgoI2bS917ahs614EAE
Hotel Imperiale,CgoIt9-fw_-44rs4EAE
Hotel Isa,CgoIy_q2u4jfhecpEAE
Horti 14 Borgo Trastevere Hotel,CgsIhruskuWJ0POjARAB
Doria Palace Boutique Hotel,CgoIgqGH37zdzYsJEAE
Best Western Hotel Royal Santina,CgsI4OufjfrPifvFARAB
Mancini Park Hotel,CgoI6oTjja-bg8JFEAE
Hotel Genio,CgoIzJvBn6f7w6AiEAE
Hotel American Palace Eur,CgsIuNOHwZDg6ZeYARAB
Saint John Hotel,CgsI-_Wuk4WWtJ7CARAB
Hotel Locanda Cairoli,CgoI9PWoyJu-5MVJEAE
Hotel NH Collection Roma Centro,CgoIg4Gc24iegIcnEAE
Best Western Hotel Rivoli,CgsIoI_j_vPK1MbNARAB
H10 Palazzo Galla,CgoI0-rEpebZ-dBnEAE
Hotel Farnese,CgsIg7OVzaXk1u-nARAB
Genova Hotel,CgsIsr3brtaVlZPkARAB
Hotel Alpi,CgsIopjphMul5Y-9ARAB
Hotel Villa Linneo,CgoIm4GG4OqksdUVEAE
Terrace Marco Antonio Luxury Suite Rome,CgsI-6iC1Pqa9caWARAB
Hotel Stendhal,CgsI65n32vKartyaARAB
Excel Roma Montemario,CgsIwpjj863slZiqARAB
Tmark Hotel Vaticano,CgsIp4Gqvsrd8NWpARAB
The Fifteen Keys Hotel,CgoI0uvJnp_yl74hEAE
Hotel Des Epoques,CgsI94jBydjA6PCDARAB
Leon's Place,CgsIod_MvPDh7LPCARAB
Hotel Villa Glori,CgsI6Ov6-qahs4vjARAB
Best Western Cinemusic Hotel,CgoI5IzpofeHn4dCEAE
Comfort Hotel Bolivar,CgsI_fPh14K9jaPAARAB
Hotel degli Artisti,CgsIlKfjn6a7tLyfARAB
The Regency,CgoI4vfUiqTt_LRxEAE
BV Oly Hotel,CgoIjM_jmcaAiaBOEAE
HOTEL VILLA MARIA REGINA,CgsIh8uYp4vulIrPARAB
Abitart Hotel,CgoIl4f6xPaSoOhQEAE
Cosmopolita Hotel Roma Tapestry Collection by Hilton,CgoIsa3s74Ps7KJNEAE
Relais Trevi 95 Boutique Hotel 4 Stelle nel cuore di Roma,CgsIgZ6uor6x7LeTARAB
Hotel Savoy Roma,CgsIyeKNxYHivcSkARAB
U-Visionary Roma Hotel,CgoI1-33if6mw5FIEAE
Hotel White,CgsIlcGwt9Oc-LaiARAB
All Time Relais & Sport Hotel,CgsIudz-vNnM1dKSARAB
Cervara Park Hotel,CgsI7oz4zM3AzM__ARAB
Caesar Place,CgoIjbX6urKx1uUoEAE
Etruria Relais and Wine,CgsI4dS44oCF-svWARAB
